NO;ULASAN;TANGGAL;LABEL;case_folding;remove_puctuation;tokenize;stemming;stopwords;empty_token
82;Makanannya biasa saja. Tidak enak. Ya murah jadi wajar. Mencoba iga tidak enak. Tidak rekomendasi;setahun yang lalu;1;makanannya biasa saja. tidak enak. ya murah jadi wajar. mencoba iga tidak enak. tidak rekomendasi;makanannya biasa saja  tidak enak  ya murah jadi wajar  mencoba iga tidak enak  tidak rekomendasi;['makanannya', 'biasa', 'saja', 'tidak', 'enak', 'ya', 'murah', 'jadi', 'wajar', 'mencoba', 'iga', 'tidak', 'enak', 'tidak', 'rekomendasi'];['makan', 'biasa', 'saja', 'tidak', 'enak', 'ya', 'murah', 'jadi', 'wajar', 'coba', 'iga', 'tidak', 'enak', 'tidak', 'rekomendasi'];['makan', 'biasa', '', 'tidak', 'enak', '', 'murah', 'jadi', 'wajar', 'coba', 'iga', 'tidak', 'enak', 'tidak', 'rekomendasi'];makan biasa tidak enak murah jadi wajar coba iga tidak enak tidak rekomendasi
83;Tempatnya cukup menarik dan penyajiannya cukup cepat untuk makanan langsung saji.. Rasanya enak dan menunya cukup banyak untuk steak saja.. Harga lumayan murah dan disediakan juga menu minuman yang menarik. Tempat parkir tersedia untuk mobil dan motor.. Tempatnya mudah ditemukan ada di jalan samping masjid agung. Pelayannya ramah ramah dan untuk pembayaran bisa menggunakan debit mandiri atau debit bank lainnya kecuali bca tidak bisa.;setahun yang lalu;0;tempatnya cukup menarik dan penyajiannya cukup cepat untuk makanan langsung saji.. rasanya enak dan menunya cukup banyak untuk steak saja.. harga lumayan murah dan disediakan juga menu minuman yang menarik. tempat parkir tersedia untuk mobil dan motor.. tempatnya mudah ditemukan ada di jalan samping masjid agung. pelayannya ramah ramah dan untuk pembayaran bisa menggunakan debit mandiri atau debit bank lainnya kecuali bca tidak bisa.;tempatnya cukup menarik dan penyajiannya cukup cepat untuk makanan langsung saji   rasanya enak dan menunya cukup banyak untuk steak saja   harga lumayan murah dan disediakan juga menu minuman yang menarik  tempat parkir tersedia untuk mobil dan motor   tempatnya mudah ditemukan ada di jalan samping masjid agung  pelayannya ramah ramah dan untuk pembayaran bisa menggunakan debit mandiri atau debit bank lainnya kecuali bca tidak bisa ;['tempatnya', 'cukup', 'menarik', 'dan', 'penyajiannya', 'cukup', 'cepat', 'untuk', 'makanan', 'langsung', 'saji', 'rasanya', 'enak', 'dan', 'menunya', 'cukup', 'banyak', 'untuk', 'steak', 'saja', 'harga', 'lumayan', 'murah', 'dan', 'disediakan', 'juga', 'menu', 'minuman', 'yang', 'menarik', 'tempat', 'parkir', 'tersedia', 'untuk', 'mobil', 'dan', 'motor', 'tempatnya', 'mudah', 'ditemukan', 'ada', 'di', 'jalan', 'samping', 'masjid', 'agung', 'pelayannya', 'ramah', 'ramah', 'dan', 'untuk', 'pembayaran', 'bisa', 'menggunakan', 'debit', 'mandiri', 'atau', 'debit', 'bank', 'lainnya', 'kecuali', 'bca', 'tidak', 'bisa'];['tempat', 'cukup', 'tarik', 'dan', 'saji', 'cukup', 'cepat', 'untuk', 'makan', 'langsung', 'saji', 'rasa', 'enak', 'dan', 'menu', 'cukup', 'banyak', 'untuk', 'steak', 'saja', 'harga', 'lumayan', 'murah', 'dan', 'sedia', 'juga', 'menu', 'minum', 'yang', 'tarik', 'tempat', 'parkir', 'sedia', 'untuk', 'mobil', 'dan', 'motor', 'tempat', 'mudah', 'temu', 'ada', 'di', 'jalan', 'samping', 'masjid', 'agung', 'layan', 'ramah', 'ramah', 'dan', 'untuk', 'bayar', 'bisa', 'guna', 'debit', 'mandiri', 'atau', 'debit', 'bank', 'lain', 'kecuali', 'bca', 'tidak', 'bisa'];['tempat', 'cukup', 'tarik', '', 'saji', 'cukup', 'cepat', '', 'makan', 'langsung', 'saji', 'rasa', 'enak', '', 'menu', 'cukup', 'banyak', '', 'steak', '', 'harga', 'lumayan', 'murah', '', 'sedia', '', 'menu', 'minum', '', 'tarik', 'tempat', 'parkir', 'sedia', '', 'mobil', '', 'motor', 'tempat', 'mudah', 'temu', '', '', 'jalan', 'samping', 'masjid', 'agung', 'layan', 'ramah', 'ramah', '', '', 'bayar', '', '', 'debit', 'mandiri', '', 'debit', 'bank', '', '', 'bca', 'tidak', ''];tempat cukup tarik saji cukup cepat makan langsung saji rasa enak menu cukup banyak steak harga lumayan murah sedia menu minum tarik tempat parkir sedia mobil motor tempat mudah temu jalan samping masjid agung layan ramah ramah bayar debit mandiri debit bank bca tidak
84;Enak banget! Apalagi onion ringnya kalau dimakan dengan tenderloin steak nikmat banget rasanya!;setahun yang lalu;0;enak banget! apalagi onion ringnya kalau dimakan dengan tenderloin steak nikmat banget rasanya!;enak banget  apalagi onion ringnya kalau dimakan dengan tenderloin steak nikmat banget rasanya ;['enak', 'banget', 'apalagi', 'onion', 'ringnya', 'kalau', 'dimakan', 'dengan', 'tenderloin', 'steak', 'nikmat', 'banget', 'rasanya'];['enak', 'banget', 'apalagi', 'onion', 'ring', 'kalau', 'makan', 'dengan', 'tenderloin', 'steak', 'nikmat', 'banget', 'rasa'];['enak', 'banget', '', 'onion', 'ring', 'kalau', 'makan', '', 'tenderloin', 'steak', 'nikmat', 'banget', 'rasa'];enak banget onion ring kalau makan tenderloin steak nikmat banget rasa
85;Tempatnya nyaman dan makanannya pun enak pakai banget pokoknya apalagi ada wifi jadi semakin betah saja ;setahun yang lalu;0;tempatnya nyaman dan makanannya pun enak pakai banget pokoknya apalagi ada wifi jadi semakin betah saja ;tempatnya nyaman dan makanannya pun enak pakai banget pokoknya apalagi ada wifi jadi semakin betah saja ;['tempatnya', 'nyaman', 'dan', 'makanannya', 'pun', 'enak', 'pakai', 'banget', 'pokoknya', 'apalagi', 'ada', 'wifi', 'jadi', 'semakin', 'betah', 'saja'];['tempat', 'nyaman', 'dan', 'makan', 'pun', 'enak', 'pakai', 'banget', 'pokok', 'apalagi', 'ada', 'wifi', 'jadi', 'makin', 'betah', 'saja'];['tempat', 'nyaman', '', 'makan', '', 'enak', 'pakai', 'banget', 'pokok', '', '', 'wifi', 'jadi', 'makin', 'betah', ''];tempat nyaman makan enak pakai banget pokok wifi jadi makin betah
86;steak dengan harga murah meriah, cocok dengan kantong pelajar dan mahasiswa. Tempatnya luas, makanan enak dan wifi gratis;setahun yang lalu;0;steak dengan harga murah meriah, cocok dengan kantong pelajar dan mahasiswa. tempatnya luas, makanan enak dan wifi gratis;steak dengan harga murah meriah  cocok dengan kantong pelajar dan mahasiswa  tempatnya luas  makanan enak dan wifi gratis;['steak', 'dengan', 'harga', 'murah', 'meriah', 'cocok', 'dengan', 'kantong', 'pelajar', 'dan', 'mahasiswa', 'tempatnya', 'luas', 'makanan', 'enak', 'dan', 'wifi', 'gratis'];['steak', 'dengan', 'harga', 'murah', 'riah', 'cocok', 'dengan', 'kantong', 'ajar', 'dan', 'mahasiswa', 'tempat', 'luas', 'makan', 'enak', 'dan', 'wifi', 'gratis'];['steak', '', 'harga', 'murah', 'riah', 'cocok', '', 'kantong', 'ajar', '', 'mahasiswa', 'tempat', 'luas', 'makan', 'enak', '', 'wifi', 'gratis'];steak harga murah riah cocok kantong ajar mahasiswa tempat luas makan enak wifi gratis
87;Pas buka puasa, ramai. Makanannya biasa, tempat parkirnya juga tidak terlalu luas. Musalanya kecil;setahun yang lalu;0;pas buka puasa, ramai. makanannya biasa, tempat parkirnya juga tidak terlalu luas. musalanya kecil;pas buka puasa  ramai  makanannya biasa  tempat parkirnya juga tidak terlalu luas  musalanya kecil;['pas', 'buka', 'puasa', 'ramai', 'makanannya', 'biasa', 'tempat', 'parkirnya', 'juga', 'tidak', 'terlalu', 'luas', 'musalanya', 'kecil'];['pas', 'buka', 'puasa', 'ramai', 'makan', 'biasa', 'tempat', 'parkir', 'juga', 'tidak', 'terlalu', 'luas', 'musala', 'kecil'];['pas', 'buka', 'puasa', 'ramai', 'makan', 'biasa', 'tempat', 'parkir', '', 'tidak', 'terlalu', 'luas', 'musala', 'kecil'];pas buka puasa ramai makan biasa tempat parkir tidak terlalu luas musala kecil
88;Murah dan enak, tempatnya cocok untuk berkumpul bersama keluarga;setahun yang lalu;0;murah dan enak, tempatnya cocok untuk berkumpul bersama keluarga;murah dan enak  tempatnya cocok untuk berkumpul bersama keluarga;['murah', 'dan', 'enak', 'tempatnya', 'cocok', 'untuk', 'berkumpul', 'bersama', 'keluarga'];['murah', 'dan', 'enak', 'tempat', 'cocok', 'untuk', 'kumpul', 'sama', 'keluarga'];['murah', '', 'enak', 'tempat', 'cocok', '', 'kumpul', 'sama', 'keluarga'];murah enak tempat cocok kumpul sama keluarga
89;Tempatnya nyaman untuk keluarga dan teman teman, rasanya lumayan enak, harga cukup oke,  wifi gratis;setahun yang lalu;0;tempatnya nyaman untuk keluarga dan teman teman, rasanya lumayan enak, harga cukup oke,  wifi gratis;tempatnya nyaman untuk keluarga dan teman teman  rasanya lumayan enak  harga cukup oke   wifi gratis;['tempatnya', 'nyaman', 'untuk', 'keluarga', 'dan', 'teman', 'teman', 'rasanya', 'lumayan', 'enak', 'harga', 'cukup', 'oke', 'wifi', 'gratis'];['tempat', 'nyaman', 'untuk', 'keluarga', 'dan', 'teman', 'teman', 'rasa', 'lumayan', 'enak', 'harga', 'cukup', 'oke', 'wifi', 'gratis'];['tempat', 'nyaman', '', 'keluarga', '', 'teman', 'teman', 'rasa', 'lumayan', 'enak', 'harga', 'cukup', 'oke', 'wifi', 'gratis'];tempat nyaman keluarga teman teman rasa lumayan enak harga cukup oke wifi gratis
90;Minuman wajib kalau makan disini;10 bulan lalu;0;minuman wajib kalau makan disini;minuman wajib kalau makan disini;['minuman', 'wajib', 'kalau', 'makan', 'disini'];['minum', 'wajib', 'kalau', 'makan', 'sini'];['minum', 'wajib', 'kalau', 'makan', 'sini'];minum wajib kalau makan sini
91;Al-ghiff  rasa makanannya tambah tahun tambah kurang enak. Apalagi setelah pindah dari yang dahulunya di Jalan Moh. Toha.;setahun yang lalu;1;al-ghiff  rasa makanannya tambah tahun tambah kurang enak. apalagi setelah pindah dari yang dahulunya di jalan moh. toha.;al ghiff  rasa makanannya tambah tahun tambah kurang enak  apalagi setelah pindah dari yang dahulunya di jalan moh  toha ;['al', 'ghiff', 'rasa', 'makanannya', 'tambah', 'tahun', 'tambah', 'kurang', 'enak', 'apalagi', 'setelah', 'pindah', 'dari', 'yang', 'dahulunya', 'di', 'jalan', 'moh', 'toha'];['al', 'ghiff', 'rasa', 'makan', 'tambah', 'tahun', 'tambah', 'kurang', 'enak', 'apalagi', 'telah', 'pindah', 'dari', 'yang', 'dahulu', 'di', 'jalan', 'moh', 'toha'];['al', 'ghiff', 'rasa', 'makan', 'tambah', 'tahun', 'tambah', 'kurang', 'enak', '', '', 'pindah', '', '', '', '', 'jalan', 'moh', 'toha'];al ghiff rasa makan tambah tahun tambah kurang enak pindah jalan moh toha
92;Harganya cukup terjangkau, rasanya lumayan sesuai dengan harganya.. Kalau malam suasananya juga oke;setahun yang lalu;0;harganya cukup terjangkau, rasanya lumayan sesuai dengan harganya.. kalau malam suasananya juga oke;harganya cukup terjangkau  rasanya lumayan sesuai dengan harganya   kalau malam suasananya juga oke;['harganya', 'cukup', 'terjangkau', 'rasanya', 'lumayan', 'sesuai', 'dengan', 'harganya', 'kalau', 'malam', 'suasananya', 'juga', 'oke'];['harga', 'cukup', 'jangkau', 'rasa', 'lumayan', 'sesuai', 'dengan', 'harga', 'kalau', 'malam', 'suasana', 'juga', 'oke'];['harga', 'cukup', 'jangkau', 'rasa', 'lumayan', 'sesuai', '', 'harga', 'kalau', 'malam', 'suasana', '', 'oke'];harga cukup jangkau rasa lumayan sesuai harga kalau malam suasana oke
93;Bagus .. tetapi rasanya biasa. Dan karena terlalu keras musiknya.. jadi kurang nyaman saja .. tapi keseluruhan baik;setahun yang lalu;1;bagus .. tetapi rasanya biasa. dan karena terlalu keras musiknya.. jadi kurang nyaman saja .. tapi keseluruhan baik;bagus    tetapi rasanya biasa  dan karena terlalu keras musiknya   jadi kurang nyaman saja    tapi keseluruhan baik;['bagus', 'tetapi', 'rasanya', 'biasa', 'dan', 'karena', 'terlalu', 'keras', 'musiknya', 'jadi', 'kurang', 'nyaman', 'saja', 'tapi', 'keseluruhan', 'baik'];['bagus', 'tetapi', 'rasa', 'biasa', 'dan', 'karena', 'terlalu', 'keras', 'musik', 'jadi', 'kurang', 'nyaman', 'saja', 'tapi', 'seluruh', 'baik'];['bagus', '', 'rasa', 'biasa', '', '', 'terlalu', 'keras', 'musik', 'jadi', 'kurang', 'nyaman', '', '', 'seluruh', 'baik'];bagus rasa biasa terlalu keras musik jadi kurang nyaman seluruh baik
94;Menunya TOP  Harganya tidak bikin kantong jebol.. Tidak pernah bosan datang ke tempat ini dan yang terakhir yang paling dicari WIFI gratis ;2 tahun lalu;0;menunya top  harganya tidak bikin kantong jebol.. tidak pernah bosan datang ke tempat ini dan yang terakhir yang paling dicari wifi gratis ;menunya top  harganya tidak bikin kantong jebol   tidak pernah bosan datang ke tempat ini dan yang terakhir yang paling dicari wifi gratis ;['menunya', 'top', '\x91\x8d', 'harganya', 'tidak', 'bikin', 'kantong', 'jebol', 'tidak', 'pernah', 'bosan', 'datang', 'ke', 'tempat', 'ini', 'dan', 'yang', 'terakhir', 'yang', 'paling', 'dicari', 'wifi', 'gratis'];['menu', 'top', '', 'harga', 'tidak', 'bikin', 'kantong', 'jebol', 'tidak', 'pernah', 'bosan', 'datang', 'ke', 'tempat', 'ini', 'dan', 'yang', 'akhir', 'yang', 'paling', 'cari', 'wifi', 'gratis'];['menu', 'top', '', 'harga', 'tidak', 'bikin', 'kantong', 'jebol', 'tidak', 'pernah', 'bosan', 'datang', '', 'tempat', '', '', '', 'akhir', '', 'paling', 'cari', 'wifi', 'gratis'];menu top harga tidak bikin kantong jebol tidak pernah bosan datang tempat akhir paling cari wifi gratis
95;Sangat lezat , Soal rasa dari 1-4 nilainya 4.;setahun yang lalu;0;sangat lezat , soal rasa dari 1-4 nilainya 4.;sangat lezat   soal rasa dari   nilainya  ;['sangat', 'lezat', 'soal', 'rasa', 'dari', 'nilainya'];['sangat', 'lezat', 'soal', 'rasa', 'dari', 'nilai'];['sangat', 'lezat', 'soal', 'rasa', '', 'nilai'];sangat lezat soal rasa nilai
96;Saya kalau makan steak pasti di Al-Ghiff.. Dekat dengan kantor dan enak steaknya;setahun yang lalu;0;saya kalau makan steak pasti di al-ghiff.. dekat dengan kantor dan enak steaknya;saya kalau makan steak pasti di al ghiff   dekat dengan kantor dan enak steaknya;['saya', 'kalau', 'makan', 'steak', 'pasti', 'di', 'al', 'ghiff', 'dekat', 'dengan', 'kantor', 'dan', 'enak', 'steaknya'];['saya', 'kalau', 'makan', 'steak', 'pasti', 'di', 'al', 'ghiff', 'dekat', 'dengan', 'kantor', 'dan', 'enak', 'steaknya'];['', 'kalau', 'makan', 'steak', '', '', 'al', 'ghiff', 'dekat', '', 'kantor', '', 'enak', 'steaknya'];kalau makan steak al ghiff dekat kantor enak steaknya
97;Tempat santai yang nyaman...  Tetapi hari ini rasa steaknya kacau ya...  # kualitas rasa perlu dijaga ;setahun yang lalu;1;tempat santai yang nyaman...  tetapi hari ini rasa steaknya kacau ya...  # kualitas rasa perlu dijaga ;tempat santai yang nyaman     tetapi hari ini rasa steaknya kacau ya       kualitas rasa perlu dijaga ;['tempat', 'santai', 'yang', 'nyaman', 'tetapi', 'hari', 'ini', 'rasa', 'steaknya', 'kacau', 'ya', 'kualitas', 'rasa', 'perlu', 'dijaga'];['tempat', 'santai', 'yang', 'nyaman', 'tetapi', 'hari', 'ini', 'rasa', 'steaknya', 'kacau', 'ya', 'kualitas', 'rasa', 'perlu', 'jaga'];['tempat', 'santai', '', 'nyaman', '', 'hari', '', 'rasa', 'steaknya', 'kacau', '', 'kualitas', 'rasa', 'perlu', 'jaga'];tempat santai nyaman hari rasa steaknya kacau kualitas rasa perlu jaga
98;Suka banget steak sama onion ringnya..  Kalau floatnya mahal dan sedikit isinya, jauh banget sama floatnya KFC yang terbaik;setahun yang lalu;0;suka banget steak sama onion ringnya..  kalau floatnya mahal dan sedikit isinya, jauh banget sama floatnya kfc yang terbaik;suka banget steak sama onion ringnya    kalau floatnya mahal dan sedikit isinya  jauh banget sama floatnya kfc yang terbaik;['suka', 'banget', 'steak', 'sama', 'onion', 'ringnya', 'kalau', 'floatnya', 'mahal', 'dan', 'sedikit', 'isinya', 'jauh', 'banget', 'sama', 'floatnya', 'kfc', 'yang', 'terbaik'];['suka', 'banget', 'steak', 'sama', 'onion', 'ring', 'kalau', 'floatnya', 'mahal', 'dan', 'sedikit', 'isi', 'jauh', 'banget', 'sama', 'floatnya', 'kfc', 'yang', 'baik'];['suka', 'banget', 'steak', 'sama', 'onion', 'ring', 'kalau', 'floatnya', 'mahal', '', 'sedikit', 'isi', 'jauh', 'banget', 'sama', 'floatnya', 'kfc', '', 'baik'];suka banget steak sama onion ring kalau floatnya mahal sedikit isi jauh banget sama floatnya kfc baik
99;Tempatnya oke buat menongkrong, menu makanannya beragam dan banyak pilihannya.   Mudah terlihat dari jalan raya dan dekat dengan masjid at-taqwa. Harga juga cukup terjangkau.  Ada wifinya juga. Rekomendasi banget buat menongkrong.;setahun yang lalu;0;tempatnya oke buat menongkrong, menu makanannya beragam dan banyak pilihannya.   mudah terlihat dari jalan raya dan dekat dengan masjid at-taqwa. harga juga cukup terjangkau.  ada wifinya juga. rekomendasi banget buat menongkrong.;tempatnya oke buat menongkrong  menu makanannya beragam dan banyak pilihannya    mudah terlihat dari jalan raya dan dekat dengan masjid at taqwa  harga juga cukup terjangkau   ada wifinya juga  rekomendasi banget buat menongkrong ;['tempatnya', 'oke', 'buat', 'menongkrong', 'menu', 'makanannya', 'beragam', 'dan', 'banyak', 'pilihannya', 'mudah', 'terlihat', 'dari', 'jalan', 'raya', 'dan', 'dekat', 'dengan', 'masjid', 'at', 'taqwa', 'harga', 'juga', 'cukup', 'terjangkau', 'ada', 'wifinya', 'juga', 'rekomendasi', 'banget', 'buat', 'menongkrong'];['tempat', 'oke', 'buat', 'tongkrong', 'menu', 'makan', 'agam', 'dan', 'banyak', 'pilih', 'mudah', 'lihat', 'dari', 'jalan', 'raya', 'dan', 'dekat', 'dengan', 'masjid', 'at', 'taqwa', 'harga', 'juga', 'cukup', 'jangkau', 'ada', 'wifinya', 'juga', 'rekomendasi', 'banget', 'buat', 'tongkrong'];['tempat', 'oke', 'buat', 'tongkrong', 'menu', 'makan', 'agam', '', 'banyak', 'pilih', 'mudah', 'lihat', '', 'jalan', 'raya', '', 'dekat', '', 'masjid', 'at', 'taqwa', 'harga', '', 'cukup', 'jangkau', '', 'wifinya', '', 'rekomendasi', 'banget', 'buat', 'tongkrong'];tempat oke buat tongkrong menu makan agam banyak pilih mudah lihat jalan raya dekat masjid at taqwa harga cukup jangkau wifinya rekomendasi banget buat tongkrong
100;Bingung acara makan bareng keluarga ayo coba ke Al-Ghiff Steak rasakan sensasi steak berbagai resep istimewa;4 tahun lalu;0;bingung acara makan bareng keluarga ayo coba ke al-ghiff steak rasakan sensasi steak berbagai resep istimewa;bingung acara makan bareng keluarga ayo coba ke al ghiff steak rasakan sensasi steak berbagai resep istimewa;['bingung', 'acara', 'makan', 'bareng', 'keluarga', 'ayo', 'coba', 'ke', 'al', 'ghiff', 'steak', 'rasakan', 'sensasi', 'steak', 'berbagai', 'resep', 'istimewa'];['bingung', 'acara', 'makan', 'bareng', 'keluarga', 'ayo', 'coba', 'ke', 'al', 'ghiff', 'steak', 'rasa', 'sensasi', 'steak', 'bagai', 'resep', 'istimewa'];['bingung', 'acara', 'makan', 'bareng', 'keluarga', 'ayo', 'coba', '', 'al', 'ghiff', 'steak', 'rasa', 'sensasi', 'steak', 'bagai', 'resep', 'istimewa'];bingung acara makan bareng keluarga ayo coba al ghiff steak rasa sensasi steak bagai resep istimewa
101;steaknya enak yang lama;8 bulan lalu;1;steaknya enak yang lama;steaknya enak yang lama;['steaknya', 'enak', 'yang', 'lama'];['steaknya', 'enak', 'yang', 'lama'];['steaknya', 'enak', '', 'lama'];steaknya enak lama
102;Saya Suka Tempat Ini Karena Kita Bisa Makan Dan Kenyang Di Tempat Ini,Dan Makanan Di Tempat Ini Sangat Lezat;setahun yang lalu;0;saya suka tempat ini karena kita bisa makan dan kenyang di tempat ini,dan makanan di tempat ini sangat lezat;saya suka tempat ini karena kita bisa makan dan kenyang di tempat ini dan makanan di tempat ini sangat lezat;['saya', 'suka', 'tempat', 'ini', 'karena', 'kita', 'bisa', 'makan', 'dan', 'kenyang', 'di', 'tempat', 'ini', 'dan', 'makanan', 'di', 'tempat', 'ini', 'sangat', 'lezat'];['saya', 'suka', 'tempat', 'ini', 'karena', 'kita', 'bisa', 'makan', 'dan', 'kenyang', 'di', 'tempat', 'ini', 'dan', 'makan', 'di', 'tempat', 'ini', 'sangat', 'lezat'];['', 'suka', 'tempat', '', '', '', '', 'makan', '', 'kenyang', '', 'tempat', '', '', 'makan', '', 'tempat', '', 'sangat', 'lezat'];suka tempat makan kenyang tempat makan tempat sangat lezat
103;Murah tetapi enak.. Saran saya pasang kipas angin di tempat lesehan depan agar tidak terlalu panas dan gerah;setahun yang lalu;0;murah tetapi enak.. saran saya pasang kipas angin di tempat lesehan depan agar tidak terlalu panas dan gerah;murah tetapi enak   saran saya pasang kipas angin di tempat lesehan depan agar tidak terlalu panas dan gerah;['murah', 'tetapi', 'enak', 'saran', 'saya', 'pasang', 'kipas', 'angin', 'di', 'tempat', 'lesehan', 'depan', 'agar', 'tidak', 'terlalu', 'panas', 'dan', 'gerah'];['murah', 'tetapi', 'enak', 'saran', 'saya', 'pasang', 'kipas', 'angin', 'di', 'tempat', 'leseh', 'depan', 'agar', 'tidak', 'terlalu', 'panas', 'dan', 'gerah'];['murah', '', 'enak', 'saran', '', 'pasang', 'kipas', 'angin', '', 'tempat', 'leseh', 'depan', '', 'tidak', 'terlalu', 'panas', '', 'gerah'];murah enak saran pasang kipas angin tempat leseh depan tidak terlalu panas gerah
104;steaknya enak, harganya terjangkau, dekat sama alun-alun kejaksan, dekat masjid, banyak variasi menunya, cocok untuk keluarga, teman, dll. wifi nya mantap;setahun yang lalu;0;steaknya enak, harganya terjangkau, dekat sama alun-alun kejaksan, dekat masjid, banyak variasi menunya, cocok untuk keluarga, teman, dll. wifi nya mantap;steaknya enak  harganya terjangkau  dekat sama alun alun kejaksan  dekat masjid  banyak variasi menunya  cocok untuk keluarga  teman  dll  wifi nya mantap;['steaknya', 'enak', 'harganya', 'terjangkau', 'dekat', 'sama', 'alun', 'alun', 'kejaksan', 'dekat', 'masjid', 'banyak', 'variasi', 'menunya', 'cocok', 'untuk', 'keluarga', 'teman', 'dll', 'wifi', 'nya', 'mantap'];['steaknya', 'enak', 'harga', 'jangkau', 'dekat', 'sama', 'alun', 'alun', 'kejaksan', 'dekat', 'masjid', 'banyak', 'variasi', 'menu', 'cocok', 'untuk', 'keluarga', 'teman', 'dll', 'wifi', 'nya', 'mantap'];['steaknya', 'enak', 'harga', 'jangkau', 'dekat', 'sama', 'alun', 'alun', 'kejaksan', 'dekat', 'masjid', 'banyak', 'variasi', 'menu', 'cocok', '', 'keluarga', 'teman', '', 'wifi', 'nya', 'mantap'];steaknya enak harga jangkau dekat sama alun alun kejaksan dekat masjid banyak variasi menu cocok keluarga teman wifi nya mantap
105;Sangat menyenangkan pertama kali, bagaimana caranya menggunakan pisau dan garpu untuk makan;setahun yang lalu;0;sangat menyenangkan pertama kali, bagaimana caranya menggunakan pisau dan garpu untuk makan;sangat menyenangkan pertama kali  bagaimana caranya menggunakan pisau dan garpu untuk makan;['sangat', 'menyenangkan', 'pertama', 'kali', 'bagaimana', 'caranya', 'menggunakan', 'pisau', 'dan', 'garpu', 'untuk', 'makan'];['sangat', 'senang', 'pertama', 'kali', 'bagaimana', 'cara', 'guna', 'pisau', 'dan', 'garpu', 'untuk', 'makan'];['sangat', 'senang', 'pertama', 'kali', 'bagaimana', 'cara', '', 'pisau', '', 'garpu', '', 'makan'];sangat senang pertama kali bagaimana cara pisau garpu makan
106;Makanannya enak, tetapi kalau lagi ramai lumayan lama menunggu makanannya;setahun yang lalu;0;makanannya enak, tetapi kalau lagi ramai lumayan lama menunggu makanannya;makanannya enak  tetapi kalau lagi ramai lumayan lama menunggu makanannya;['makanannya', 'enak', 'tetapi', 'kalau', 'lagi', 'ramai', 'lumayan', 'lama', 'menunggu', 'makanannya'];['makan', 'enak', 'tetapi', 'kalau', 'lagi', 'ramai', 'lumayan', 'lama', 'tunggu', 'makan'];['makan', 'enak', '', 'kalau', '', 'ramai', 'lumayan', 'lama', 'tunggu', 'makan'];makan enak kalau ramai lumayan lama tunggu makan
107;Kangen makan disini.. sedap rasanya. 2  porsi saja kurang saya;setahun yang lalu;0;kangen makan disini.. sedap rasanya. 2  porsi saja kurang saya;kangen makan disini   sedap rasanya    porsi saja kurang saya;['kangen', 'makan', 'disini', 'sedap', 'rasanya', 'porsi', 'saja', 'kurang', 'saya'];['kangen', 'makan', 'sini', 'sedap', 'rasa', 'porsi', 'saja', 'kurang', 'saya'];['kangen', 'makan', 'sini', 'sedap', 'rasa', 'porsi', '', 'kurang', ''];kangen makan sini sedap rasa porsi kurang
108;steaknya cukup ramah di dompet dan rasanya juga mantap ..., tempatnya cukup asyik buat kumpul mengobrol bareng teman-teman geng,  kalau akhir pekan penuh,  sayang tidak ada ruangan yang  AC ..;setahun yang lalu;0;steaknya cukup ramah di dompet dan rasanya juga mantap ..., tempatnya cukup asyik buat kumpul mengobrol bareng teman-teman geng,  kalau akhir pekan penuh,  sayang tidak ada ruangan yang  ac ..;steaknya cukup ramah di dompet dan rasanya juga mantap      tempatnya cukup asyik buat kumpul mengobrol bareng teman teman geng   kalau akhir pekan penuh   sayang tidak ada ruangan yang  ac   ;['steaknya', 'cukup', 'ramah', 'di', 'dompet', 'dan', 'rasanya', 'juga', 'mantap', 'tempatnya', 'cukup', 'asyik', 'buat', 'kumpul', 'mengobrol', 'bareng', 'teman', 'teman', 'geng', 'kalau', 'akhir', 'pekan', 'penuh', 'sayang', 'tidak', 'ada', 'ruangan', 'yang', 'ac'];['steaknya', 'cukup', 'ramah', 'di', 'dompet', 'dan', 'rasa', 'juga', 'mantap', 'tempat', 'cukup', 'asyik', 'buat', 'kumpul', 'obrol', 'bareng', 'teman', 'teman', 'geng', 'kalau', 'akhir', 'pekan', 'penuh', 'sayang', 'tidak', 'ada', 'ruang', 'yang', 'ac'];['steaknya', 'cukup', 'ramah', '', 'dompet', '', 'rasa', '', 'mantap', 'tempat', 'cukup', 'asyik', 'buat', 'kumpul', 'obrol', 'bareng', 'teman', 'teman', 'geng', 'kalau', 'akhir', 'pekan', 'penuh', 'sayang', 'tidak', '', 'ruang', '', 'ac'];steaknya cukup ramah dompet rasa mantap tempat cukup asyik buat kumpul obrol bareng teman teman geng kalau akhir pekan penuh sayang tidak ruang ac
